fecha,zona_prov,w_mean
2008-04-01,SANTIAGO DEL ESTERO,1627
2008-04-01,TIERRA DEL FUEGO,3390
2008-04-01,TUCUMAN,1561
2008-05-01,BUENOS AIRES,2301
2008-05-01,CAPITAL FEDERAL,2638
2008-05-01,CATAMARCA,1864
2008-05-01,CHACO,1703
2008-05-01,CHUBUT,3528
2008-05-01,CORDOBA,2011
2008-05-01,CORRIENTES,1756
2008-05-01,ENTRE RIOS,1855
2008-05-01,FORMOSA,1743
2008-05-01,JUJUY,1864
2008-05-01,LA PAMPA,1923
2008-05-01,LA RIOJA,1774
2008-05-01,MENDOZA,1972
2008-05-01,MISIONES,1702
2008-05-01,NEUQUEN,3473
2008-05-01,RIO NEGRO,2256
2008-05-01,SALTA,1801
2008-05-01,SAN JUAN,1916
2008-05-01,SAN LUIS,2243
2008-05-01,SANTA CRUZ,4219
2008-05-01,SANTA FE,2165
2008-05-01,SANTIAGO DEL ESTERO,1633
2008-05-01,TIERRA DEL FUEGO,3540
2008-05-01,TUCUMAN,1617
2008-06-01,BUENOS AIRES,3271
2008-06-01,CAPITAL FEDERAL,3697
2008-06-01,CATAMARCA,2693
2008-06-01,CHACO,2352
2008-06-01,CHUBUT,4850
2008-06-01,CORDOBA,2845
2008-06-01,CORRIENTES,2479
2008-06-01,ENTRE RIOS,2597
2008-06-01,FORMOSA,2431
2008-06-01,JUJUY,2732
2008-06-01,LA PAMPA,2765
2008-06-01,LA RIOJA,2551
2008-06-01,MENDOZA,2736
2008-06-01,MISIONES,2351
2008-06-01,NEUQUEN,4824
2008-06-01,RIO NEGRO,3031
2008-06-01,SALTA,2510
2008-06-01,SAN JUAN,2671
2008-06-01,SAN LUIS,3157
2008-06-01,SANTA CRUZ,5708
2008-06-01,SANTA FE,3057
2008-06-01,SANTIAGO DEL ESTERO,2305
2008-06-01,TIERRA DEL FUEGO,5083
2008-06-01,TUCUMAN,2202
2008-07-01,BUENOS AIRES,2412
2008-07-01,CAPITAL FEDERAL,2768
2008-07-01,CATAMARCA,2057
2008-07-01,CHACO,1762
2008-07-01,CHUBUT,3706
2008-07-01,CORDOBA,2120
2008-07-01,CORRIENTES,1805
2008-07-01,ENTRE RIOS,1907
2008-07-01,FORMOSA,1840
2008-07-01,JUJUY,2049
2008-07-01,LA PAMPA,2051
2008-07-01,LA RIOJA,1913
2008-07-01,MENDOZA,2096
2008-07-01,MISIONES,1770
2008-07-01,NEUQUEN,3799
2008-07-01,RIO NEGRO,2366
2008-07-01,SALTA,1885
2008-07-01,SAN JUAN,1998
2008-07-01,SAN LUIS,2347
2008-07-01,SANTA CRUZ,4488
2008-07-01,SANTA FE,2266
2008-07-01,SANTIAGO DEL ESTERO,1718
2008-07-01,TIERRA DEL FUEGO,3958
2008-07-01,TUCUMAN,1720
2008-08-01,BUENOS AIRES,2438
2008-08-01,CAPITAL FEDERAL,2791
2008-08-01,CATAMARCA,2107
2008-08-01,CHACO,1807
2008-08-01,CHUBUT,3795
2008-08-01,CORDOBA,2146
2008-08-01,CORRIENTES,1867
2008-08-01,ENTRE RIOS,1962
2008-08-01,FORMOSA,1902
2008-08-01,JUJUY,2062
2008-08-01,LA PAMPA,2117
2008-08-01,LA RIOJA,1931
2008-08-01,MENDOZA,2122
2008-08-01,MISIONES,1775
2008-08-01,NEUQUEN,3760
2008-08-01,RIO NEGRO,2410
2008-08-01,SALTA,1945
2008-08-01,SAN JUAN,1998
2008-08-01,SAN LUIS,2361
2008-08-01,SANTA CRUZ,4568
2008-08-01,SANTA FE,2318
2008-08-01,SANTIAGO DEL ESTERO,1731
2008-08-01,TIERRA DEL FUEGO,4019
2008-08-01,TUCUMAN,1725
2008-09-01,BUENOS AIRES,2495
2008-09-01,CAPITAL FEDERAL,2857
2008-09-01,CATAMARCA,2158
2008-09-01,CHACO,1866
2008-09-01,CHUBUT,3831
2008-09-01,CORDOBA,2205
2008-09-01,CORRIENTES,1911
2008-09-01,ENTRE RIOS,2010
2008-09-01,FORMOSA,1919
2008-09-01,JUJUY,2079
2008-09-01,LA PAMPA,2139
2008-09-01,LA RIOJA,2049
2008-09-01,MENDOZA,2179
2008-09-01,MISIONES,1854
2008-09-01,NEUQUEN,3828
2008-09-01,RIO NEGRO,2458
2008-09-01,SALTA,1995
2008-09-01,SAN JUAN,2076
2008-09-01,SAN LUIS,2393
2008-09-01,SANTA CRUZ,4507
2008-09-01,SANTA FE,2385
2008-09-01,SANTIAGO DEL ESTERO,1791
2008-09-01,TIERRA DEL FUEGO,4011
2008-09-01,TUCUMAN,1742
2008-10-01,BUENOS AIRES,2594
2008-10-01,CAPITAL FEDERAL,2918
2008-10-01,CATAMARCA,2244
2008-10-01,CHACO,1884
2008-10-01,CHUBUT,4123
2008-10-01,CORDOBA,2237
2008-10-01,CORRIENTES,1914
2008-10-01,ENTRE RIOS,1937
2008-10-01,FORMOSA,1959
2008-10-01,JUJUY,2137
2008-10-01,LA PAMPA,2145
2008-10-01,LA RIOJA,2103
2008-10-01,MENDOZA,2199
2008-10-01,MISIONES,1918
2008-10-01,NEUQUEN,3866
2008-10-01,RIO NEGRO,2482
2008-10-01,SALTA,2021
2008-10-01,SAN JUAN,2127
2008-10-01,SAN LUIS,2518
2008-10-01,SANTA CRUZ,4614
2008-10-01,SANTA FE,2419
2008-10-01,SANTIAGO DEL ESTERO,1807
2008-10-01,TIERRA DEL FUEGO,4126
2008-10-01,TUCUMAN,1731
2008-11-01,BUENOS AIRES,2502
2008-11-01,CAPITAL FEDERAL,2873
2008-11-01,CATAMARCA,2202
2008-11-01,CHACO,1871
2008-11-01,CHUBUT,4205
2008-11-01,CORDOBA,2196
2008-11-01,CORRIENTES,1938
2008-11-01,ENTRE RIOS,1926
2008-11-01,FORMOSA,1965
2008-11-01,JUJUY,2139
2008-11-01,LA PAMPA,2133
2008-11-01,LA RIOJA,2066
2008-11-01,MENDOZA,2160
2008-11-01,MISIONES,1901
2008-11-01,NEUQUEN,3780
2008-11-01,RIO NEGRO,2430
2008-11-01,SALTA,2011
2008-11-01,SAN JUAN,2079
2008-11-01,SAN LUIS,2405
2008-11-01,SANTA CRUZ,4500
2008-11-01,SANTA FE,2342
2008-11-01,SANTIAGO DEL ESTERO,1771
2008-11-01,TIERRA DEL FUEGO,4156
2008-11-01,TUCUMAN,1810
2008-12-01,BUENOS AIRES,3731
2008-12-01,CAPITAL FEDERAL,4205
2008-12-01,CATAMARCA,3296
2008-12-01,CHACO,2740
2008-12-01,CHUBUT,5450
2008-12-01,CORDOBA,3307
2008-12-01,CORRIENTES,2904
2008-12-01,ENTRE RIOS,3025
2008-12-01,FORMOSA,2866
2008-12-01,JUJUY,2922
2008-12-01,LA PAMPA,3204
2008-12-01,LA RIOJA,3207
